Unnamed: 0,WELL,DTC,Temperature,Water Depth,Completion Year,Latitude,Longitude
0,15/9-13,66.2743759105705,91.0,81.0,1982,58.373878,1.934128
1,15/9-15,67.87815846458393,116.0,83.0,1982,58.302069,1.922131
2,15/9-17,75.50554094886542,108.0,85.0,1983,58.445608,1.948217
3,16/10-1,71.28138984957778,123.0,84.0,1986,58.056578,2.053903
4,16/10-2,68.90056158785916,117.0,79.0,1991,58.140717,2.037475
5,16/10-3,81.79885007001099,103.0,75.0,1996,58.221817,2.326194
6,16/10-5,74.88632152193006,0.0,83.5,2012,58.000994,2.1321
7,16/2-11 A,85.18890092569046,0.0,113.0,2012,58.803628,2.5722
8,16/2-16,86.2091564324765,0.0,115.0,2012,58.850317,2.597375
9,16/2-6,85.49915253794592,0.0,115.0,2010,58.823683,2.615211
10,16/4-1,69.95618456148223,96.0,96.0,1984,58.638425,2.138064
11,16/5-3,83.47043989336613,0.0,108.0,2013,58.731653,2.557956
12,16/7-4,70.90793032692689,96.0,78.0,1982,58.286042,2.025019
13,16/7-5,74.22521489109123,95.0,80.0,1984,58.35175,2.082267
14,16/8-1,96.88876385399809,88.0,81.0,1976,58.456889,2.432444
15,17/11-1,82.68686578662813,83.0,75.0,1968,58.21,3.343028
16,25/11-15,81.79356444365682,85.0,127.0,1991,59.184306,2.484394
17,25/11-5,85.26910090015255,60.0,124.0,1974,59.202589,2.365439
18,25/2-14,77.62014569149771,126.0,117.0,1991,59.764867,2.589733
19,25/2-7,79.9406171281505,133.0,117.0,1982,59.905669,2.640519
20,25/3-1,72.23531604842566,138.0,114.0,1989,59.931386,2.772594
21,25/4-5,82.8730049875835,140.0,121.0,1981,59.567986,2.194225
22,25/5-1,71.60544609960587,122.0,118.0,1987,59.729775,2.570406
23,25/5-4,62.66130117193666,111.0,120.0,1991,59.609228,2.475575
24,25/6-1,85.30811961412972,120.0,121.0,1986,59.525567,2.800575
25,25/6-2,75.7375100483744,82.0,119.0,1992,59.561064,2.8204
26,25/6-3,80.51162272248558,91.0,109.0,1999,59.700842,2.9239
27,25/7-2,70.43681647120856,163.0,124.0,1990,59.274608,2.207247
29,25/8-7,83.70326945788715,81.0,123.0,1995,59.474564,2.574603
30,25/9-1,90.40611851078806,91.0,111.0,1995,59.449644,2.709908
31,26/4-1,74.49969817817856,128.0,121.0,1987,59.610511,3.02035
32,29/6-1,94.82545551196634,166.0,124.7,1982,60.538317,1.990014
33,30/3-3,109.40768295043884,125.0,186.0,1983,60.769844,2.95155
34,30/6-5,110.55808455500298,126.0,156.0,1981,60.689056,2.953081
35,31/2-19 S,99.39538047978238,117.0,344.0,1996,60.910417,3.371478
36,31/2-8,102.0266206432907,91.0,345.5,1982,60.959172,3.497178
37,31/3-1,129.239082138044,73.0,334.0,1983,60.779961,3.734278
38,31/3-2,130.23714695730146,73.0,340.0,1984,60.869836,3.678275
39,31/3-3,114.07800094783263,79.0,332.0,1984,60.833969,3.843933
40,31/3-4,103.0532259662246,80.0,348.0,2014,60.96425,3.688014
41,31/4-10,112.46417986927185,94.0,234.0,1995,60.624939,3.187808
42,31/4-5,94.666139090393,82.0,143.0,1981,60.558589,3.056992
44,31/6-5,125.29531741144156,61.0,304.0,1984,60.618556,3.805828
45,31/6-8,121.70948942883334,79.0,300.0,1985,60.555933,3.677519
46,33/6-3 S,97.61244846456398,142.0,332.0,2012,61.59405,1.952706
47,33/9-1,119.26654273405688,94.0,146.0,1974,61.252025,1.840428
48,33/9-17,111.670330416453,120.0,228.0,1994,61.455161,1.846053
49,34/10-19,124.27127964461911,70.0,193.0,1983,61.18635,2.258486
50,34/10-21,107.41342636642494,110.0,136.0,1984,61.125844,2.148481
51,34/10-33,97.77382803359129,135.0,134.0,1988,61.126233,2.215861
52,34/10-35,98.84764672525158,156.0,135.0,1992,61.071158,2.321325
53,34/11-2 S,98.67836899420143,172.0,261.0,1996,61.2259,2.382447
54,34/12-1,88.14119534643271,168.0,373.0,2008,61.222189,2.998783
55,34/2-4,111.67893610606978,134.0,391.0,1985,61.755586,2.660456
56,34/3-1 A,92.18842537170968,0.0,410.0,2008,61.812914,2.779767
57,34/4-10 R,90.46930653895672,139.0,357.0,2000,61.625908,2.075114
58,34/5-1 A,104.88607743952548,0.0,387.0,2010,61.743108,2.598714
59,34/7-13,112.65663363723915,103.0,282.0,1988,61.405342,2.053469
60,34/7-20,116.15352315094654,100.0,295.0,1992,61.444347,2.03055
61,34/7-21,118.39277848010715,106.0,192.0,1992,61.293567,2.072539
62,34/8-1,110.16558607186911,131.0,325.5,1986,61.364861,2.432658
63,34/8-3,110.7686721110908,122.0,382.0,1988,61.407789,2.54585
64,35/11-1,110.64301490205705,108.0,360.0,1984,61.183131,3.662486
65,35/11-10,101.88016708376,107.0,353.5,1997,61.019594,3.523969
66,35/11-11,100.99824027408172,115.0,359.0,1998,61.108728,3.563633
67,35/11-12,107.30372953798874,108.0,364.0,2000,61.128758,3.381572
68,35/11-6,102.47289738715126,144.0,370.0,1992,61.196061,3.465406
69,35/11-7,110.52799716344744,110.0,355.0,1992,61.033261,3.590619
70,35/12-1,100.13973137913786,91.0,351.0,1992,61.184461,3.962614
71,35/3-7 S,77.6330358597775,124.0,257.0,2009,61.835344,3.825508
72,35/4-1,105.75517386608225,164.0,378.0,1997,61.533486,3.302294
74,35/9-10 S,87.24808507351183,0.0,365.0,2013,61.251972,3.684417
75,35/9-2,88.22254473594035,100.0,367.0,1991,61.335728,3.937983
76,35/9-6 S,100.07791348980756,125.0,369.0,2010,61.371192,3.69265
77,36/7-3,79.36073793147916,0.0,349.0,2002,61.425867,4.049892
78,7/1-1,77.04921970218909,93.0,82.0,1971,57.797778,2.165556
